gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ensg00000000003.16	109.0617744	0.913006247	0.456203986	2.00131142	0.04535884	0.124210936
ensg00000000419.14	477.6357938	0.635517401	0.204944941	3.100917721	0.001929219	0.016734206
ensg00000000457.14	135.612647	1.206100366	0.435215145	2.771273887	0.005583744	0.03394682
ensg00000000460.17	61.77890974	-0.265840156	0.293095406	-0.907008949	0.364402065	0.509202422
ensg00000001036.14	571.511549	1.061868051	0.438323443	2.422567328	0.01541127	0.062782878
ensg00000001084.13	2165.871912	1.559123933	0.369605808	4.218342618	2.46E-05	0.000595232
ensg00000001167.15	462.9889786	0.675165536	0.21864275	3.087985023	0.002015186	0.017242917
ensg00000001460.18	497.9264329	-0.277232512	0.11900957	-2.32949764	0.019832718	0.074045871
ensg00000001461.17	1956.317031	0.071652444	0.09531427	0.751749382	0.452201787	0.592709898
ensg00000001497.18	1423.296619	-0.068647378	0.139831989	-0.490927566	0.62347768	0.736249613
ensg00000001561.7	14.37381519	0.960440041	0.697641097	1.376696478	0.168606108	0.295343321
ensg00000001617.12	4588.887191	-0.484387723	0.226527111	-2.138321193	0.032490684	0.100614841
ensg00000001629.10	607.414379	0.36093967	0.276837786	1.303794817	0.19230355	0.324067547
ensg00000001630.18	1138.05167	0.368568894	0.172113014	2.141435356	0.032238946	0.100139441
ensg00000001631.17	101.5538163	0.702164293	0.418838742	1.676454974	0.093649109	0.197364491
ensg00000002016.18	129.0666599	-0.639799799	0.324004326	-1.974664373	0.048306249	0.128926907
ensg00000002330.14	1670.656358	-0.431044414	0.263616979	-1.635116277	0.102024675	0.209876616
ensg00000002549.13	962.5470422	-0.287188524	0.167455162	-1.715017442	0.086342029	0.18754134
ensg00000002587.10	34.43822905	0.974960199	0.364514737	2.674679785	0.007480066	0.040883124
ensg00000002726.21	30.96776535	-0.467424033	0.443354533	-1.054289509	0.29175039	0.435163141
ensg00000002746.15	9.816162899	-0.339236861	0.689596434	-0.491935347	0.62276505	
ensg00000002822.16	1400.212618	-0.149870836	0.227516606	-0.658724826	0.510072488	0.643795901
ensg00000002834.19	12608.56444	0.349148088	0.096456328	3.619753078	0.000294884	0.004328235
ensg00000002919.15	401.8409309	0.432501778	0.208749267	2.071872079	0.038277372	0.111844862
ensg00000003056.8	1113.91664	0.92347713	0.33169759	2.784093577	0.005367755	0.033266504
ensg00000003096.15	54.528955	0.267505438	0.540979057	0.494483908	0.620964468	0.73425489
ensg00000003137.9	167.5356392	-0.660061332	0.210764615	-3.131746442	0.001737699	0.015678325
ensg00000003147.19	86.81940154	0.548689115	0.405788039	1.352156946	0.176325113	0.304787068
ensg00000003249.15	1144.828593	-0.474113433	0.222560045	-2.130272007	0.033149163	0.101986771
ensg00000003393.16	341.0642989	0.659726626	0.163642327	4.031515783	5.54E-05	0.001171473
ensg00000003400.16	168.9232422	0.377846857	0.209880996	1.800290945	0.07181471	0.166578958
ensg00000003402.21	1288.288047	0.066583274	0.166859653	0.39903759	0.689865507	0.788570714
ensg00000003436.16	6.813341681	1.646494998	0.964676282	1.706784989	0.087862024	
ensg00000003509.16	156.85316	0.598696928	0.296072264	2.022131082	0.043162812	0.120217044
ensg00000003756.17	504.9473301	0.736183982	0.273801741	2.688748354	0.007172046	0.039781886
ensg00000003989.18	37.07516125	0.282620084	0.390818303	0.723149561	0.469588003	0.608458246
ensg00000004059.11	3334.15988	-0.264019869	0.243098711	-1.086060338	0.277452298	0.4199809
ensg00000004139.14	45.96541957	-0.479876889	0.428353397	-1.120282673	0.262593323	0.403795741
ensg00000004142.12	3929.849013	0.095938486	0.098692286	0.97209711	0.33100224	0.476807269
ensg00000004399.13	826.2366421	-0.519956764	0.238058612	-2.184154394	0.028950905	0.093475102
ensg00000004455.18	3847.447279	-0.004530122	0.13097042	-0.034588897	0.972407555	0.981093786
ensg00000004468.13	5.015265602	0.87369269	1.011364291	0.863875359	0.387656364	
ensg00000004478.8	4061.298973	-0.061102306	0.087067364	-0.701781961	0.48281515	0.619791139
ensg00000004487.18	2772.010353	-0.118474393	0.125289932	-0.945601858	0.344351696	0.490282241
ensg00000004534.15	440.7741804	0.523307725	0.39044188	1.340296089	0.180149103	0.309688224
ensg00000004660.15	1006.889089	-0.835757559	0.172488338	-4.845298932	1.26E-06	5.03E-05
ensg00000004700.16	308.8703486	1.097031198	0.506522415	2.165809777	0.030325726	0.096457205
ensg00000004766.17	34.0987067	1.152054372	1.585723719	0.726516453	0.467522225	0.606727727
ensg00000004776.13	50.44683244	-1.148698788	0.505140137	-2.274020025	0.022964783	0.080843354
ensg00000004777.19	717.8168015	-1.157522934	0.221633005	-5.222701076	1.76E-07	9.49E-06
ensg00000004779.10	1119.488919	-0.13894835	0.129194949	-1.075493673	0.282153764	0.425193502
ensg00000004838.14	32.02302252	-1.731498254	0.850109409	-2.0367946	0.04167063	0.117811972
ensg00000004846.17	23.51623409	0.052462936	0.370248355	0.141696608	0.887319655	0.926756084
ensg00000004864.14	233.5022364	1.090839128	0.340171453	3.206733308	0.001342514	0.013054791
ensg00000004866.22	282.6063066	0.936262381	0.317699602	2.947005206	0.003208678	0.024054196
ensg00000004866.22	282.6063066	0.936262381	0.317699602	2.947005206	0.003208678	0.024054196
ensg00000004897.12	272.3238656	0.980717984	0.611113987	1.604803693	0.108537013	0.21925767
ensg00000004939.16	26.80102147	0.323138348	0.384696345	0.839982892	0.400917979	0.54506359
ensg00000004961.15	585.942395	0.995102585	0.353133399	2.817922593	0.004833546	0.031205703
ensg00000004975.12	2533.996748	-0.427362449	0.21529314	-1.985025854	0.047141595	0.127124049
ensg00000005007.14	3964.186991	-0.274563395	0.157751629	-1.740478992	0.081774946	0.180851849
ensg00000005020.13	178.1849468	0.944172229	0.402217562	2.34741672	0.018904099	0.071737357
ensg00000005022.6	9983.125761	0.191828657	0.127907469	1.49974555	0.133680327	0.25232114
ensg00000005059.16	238.2390646	-0.08260767	0.133818183	-0.617312751	0.537028458	0.66708296
ensg00000005073.6	359.5871435	-0.66958843	0.200826362	-3.334166012	0.000855556	0.009529022
ensg00000005075.16	1742.081638	-0.154463419	0.18108022	-0.853011001	0.393653204	0.538280576
ensg00000005100.13	1120.656432	0.121137477	0.127850143	0.947495827	0.343386181	0.48922288
ensg00000005156.12	709.6159744	0.174897479	0.246340491	0.709982668	0.477714884	0.615678051
ensg00000005175.10	124.5501843	1.547080203	0.5251071	2.946218407	0.003216852	0.024097117
ensg00000005189.20	86.05339655	0.921084545	0.672070817	1.370517097	0.170525542	0.297497739
ensg00000005194.15	1476.627535	0.437155906	0.140024805	3.121989043	0.001796336	0.01595855
ensg00000005206.17	1247.07539	-0.35923517	0.233208406	-1.540404039	0.123461897	0.23957128
ensg00000005238.20	1532.969415	0.030398692	0.161430996	0.188307652	0.850635487	0.901587382
ensg00000005243.10	25.24253479	-0.712440546	0.449050629	-1.586548376	0.112614967	0.224822832
ensg00000005302.19	206.8453269	0.772201484	0.378606669	2.039587642	0.041391414	0.117347979
