ENSEMBL	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
ENSMUSG00000000001	295	321	440	325	305	334	567
ENSMUSG00000000003	0	0	0	0	0	0	0
ENSMUSG00000000028	76	37	53	77	52	61	71
ENSMUSG00000000037	1	6	4	3	1	4	14
ENSMUSG00000000049	8	20	7	28	10	11	13
ENSMUSG00000000056	3846	3055	3855	3437	4064	3501	3010
ENSMUSG00000000058	456	387	650	318	369	361	461
ENSMUSG00000000078	885	804	611	485	902	578	1463
ENSMUSG00000000085	810	718	872	842	804	788	751
ENSMUSG00000000088	7829	6258	6471	6372	8110	6138	6702
ENSMUSG00000000093	67	49	57	47	85	76	58
ENSMUSG00000000094	100	59	47	87	53	64	70
ENSMUSG00000000103	0	0	0	0	0	0	0
ENSMUSG00000000120	14	12	14	9	16	10	10
ENSMUSG00000000125	0	0	5	0	0	0	0
ENSMUSG00000000126	425	322	420	386	447	418	426
ENSMUSG00000000127	290	173	310	236	269	269	322
ENSMUSG00000000131	854	925	790	723	851	885	1013
ENSMUSG00000000134	254	229	346	239	257	225	345
ENSMUSG00000000142	249	187	290	282	342	277	280
ENSMUSG00000000148	179	188	174	145	170	139	185
ENSMUSG00000000149	570	491	758	631	660	503	866
ENSMUSG00000000154	4	3	11	3	3	4	9
ENSMUSG00000000157	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	1
ENSMUSG00000000167	3	6	10	5	3	6	3
ENSMUSG00000000168	4247	3510	3269	3539	4245	3791	3956
ENSMUSG00000000171	4904	3910	3795	4071	4715	4073	4212
ENSMUSG00000000182	0	0	0	0	1	1	0
ENSMUSG00000000183	176	116	220	215	224	241	215
ENSMUSG00000000184	167	215	501	211	253	233	417
ENSMUSG00000000194	943	852	1122	974	1016	921	1136
ENSMUSG00000000197	13	13	7	7	10	5	20
ENSMUSG00000000202	0	0	5	0	1	1	1
ENSMUSG00000000204	4	3	6	2	1	4	130
ENSMUSG00000000214	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	1	0	0
ENSMUSG00000000223	119	71	129	86	225	144	203
ENSMUSG00000000244	1	4	18	5	9	4	25
ENSMUSG00000000247	4	0	1	1	4	1	4
ENSMUSG00000000248	0	0	1	0	0	1	3
ENSMUSG00000000253	3527	3219	3292	3055	3850	3338	2341
ENSMUSG00000000263	0	0	1	0	0	0	0
ENSMUSG00000000266	185	139	173	131	161	152	178
ENSMUSG00000000275	311	314	423	258	376	386	612
ENSMUSG00000000276	245	191	267	232	248	277	262
ENSMUSG00000000278	177	170	316	235	158	221	600
ENSMUSG00000000282	344	290	358	325	332	310	371
ENSMUSG00000000290	31	35	141	51	22	45	393
ENSMUSG00000000295	166	154	129	110	145	147	173
ENSMUSG00000000296	346	458	355	371	383	445	461
ENSMUSG00000000301	18	29	27	19	41	17	27
ENSMUSG00000000303	3	4	8	2	6	4	14
ENSMUSG00000000305	497	263	1071	614	386	474	301
ENSMUSG00000000308	1	0	0	0	1	0	0
ENSMUSG00000000317	151	132	99	201	157	147	130
ENSMUSG00000000318	51	62	187	57	34	69	162
ENSMUSG00000000320	45	30	31	32	39	65	56
ENSMUSG00000000326	738	738	1092	719	734	710	783
ENSMUSG00000000339	582	489	523	474	606	448	527
ENSMUSG00000000340	756	757	606	625	726	804	627
ENSMUSG00000000346	1950	1549	1717	1756	1997	1688	2224
ENSMUSG00000000355	392	326	462	335	423	309	439
ENSMUSG00000000359	39	32	67	48	38	37	36
ENSMUSG00000000365	0	9	2	0	0	2	2
ENSMUSG00000000374	1816	1394	1798	1769	1769	1670	1664
ENSMUSG00000000378	471	373	462	420	436	394	457
ENSMUSG00000000381	0	0	0	0	0	0	0
ENSMUSG00000000384	936	833	933	815	957	805	802
ENSMUSG00000000385	0	1	0	0	4	2	1
ENSMUSG00000000386	7	5	15	10	6	10	60
ENSMUSG00000000392	119	73	173	118	108	109	307
ENSMUSG00000000394	1	0	0	0	0	0	0
ENSMUSG00000000399	5450	4127	3638	4842	5284	4932	4889
ENSMUSG00000000402	9	5	7	4	16	13	10
ENSMUSG00000000409	1	1	2	0	0	1	10
ENSMUSG00000000411	0	0	0	0	2	0	0
ENSMUSG00000000416	29	9	35	25	17	12	21
ENSMUSG00000000420	2483	1994	2529	2331	2639	2021	2500
ENSMUSG00000000435	30	22	26	19	19	17	39
ENSMUSG00000000439	1869	1513	1849	1700	1863	1741	1540
ENSMUSG00000000440	69	51	236	60	49	51	65
ENSMUSG00000000441	3544	2761	3863	3430	3631	3289	3288
ENSMUSG00000000486	23	18	21	20	15	9	35
ENSMUSG00000000489	401	332	649	512	465	509	487
ENSMUSG00000000530	240	213	293	236	218	215	299
ENSMUSG00000000531	139	105	115	123	121	111	164
ENSMUSG00000000532	2594	1908	1668	1435	2421	1512	1355
ENSMUSG00000000538	3583	3115	3409	3311	3635	3337	3141
ENSMUSG00000000544	0	0	0	0	0	0	0
ENSMUSG00000000552	134	154	259	141	162	132	203
ENSMUSG00000000555	214	172	229	128	184	231	867
ENSMUSG00000000560	0	3	3	3	1	0	1
ENSMUSG00000000561	642	575	683	552	725	588	703
ENSMUSG00000000562	4	2	6	5	8	7	10
ENSMUSG00000000563	11046	10523	9088	9207	11664	9427	10552
ENSMUSG00000000567	29	53	39	22	20	37	66
ENSMUSG00000000568	1056	821	1035	866	1125	885	1039
ENSMUSG00000000579	80	54	87	100	37	57	68
